locator,location,time,Nall,Nmissed,Ncorrect,Nwrong,mergeEquivalent,mergeSuperCSubSpace,mergeTypeChefSubSpace,mergeDisjointOrOverlapping,isTrue
SuperC,splc18challengecase/vbdb/linux/simple/e68bb91.c:10,768,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/eb91f1d.c:36,829,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/ee3f34e.c:46,825,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/f3d83e2.c:14,799,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/f48ec1d.c:10,774,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/f7ab9b4.c:55,793,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/marlin/simple/2d22902.c:11,642,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/marlin/simple/7336e6d.c:44,677,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/marlin/simple/7336e6d.c:45,663,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/marlin/simple/831016b.c:16,101,1,1,0,0,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/marlin/simple/8c4377d.c:16,647,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/marlin/simple/b8e79dc.c:27,644,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/marlin/simple/fdac8f6.c:9,632,1,0,?,?,0,0,0,0,1
FeatureCoPP,splc18challengecase/vbdb/busybox/simple/199501f.c:22,647,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/busybox/simple/1b487ea.c:15,643,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/busybox/simple/2631486.c:42,665,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/busybox/simple/5275b1e.c:25,645,1,0,?,?,0,0,0,0,1
FeatureCoPP,splc18challengecase/vbdb/busybox/simple/5cd6461.c:23,680,1,0,?,?,0,0,0,0,1
FeatureCoPP,splc18challengecase/vbdb/busybox/simple/9575518.c:48,662,1,0,?,?,0,0,0,0,1
FeatureCoPP,splc18challengecase/vbdb/busybox/simple/b7ebc61.c:17,663,1,0,?,?,0,0,0,0,1
FeatureCoPP,splc18challengecase/vbdb/busybox/simple/bc0ffc0.c:44,654,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/busybox/simple/cf1f2ac.c:29,650,1,0,?,?,0,0,0,0,1
FeatureCoPP,splc18challengecase/vbdb/busybox/simple/df7b657.c:8,643,1,0,?,?,0,0,0,0,1
