locator,location,time,Nall,Nmissed,Ncorrect,Nwrong,mergeEquivalent,mergeSuperCSubSpace,mergeTypeChefSubSpace,mergeDisjointOrOverlapping,isTrue
FeatureCoPP + Kmax,busybox-1.18.5/archival/libarchive/get_header_cpio.c:57,946,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/archival/libarchive/get_header_tar.c:260,1024,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/archival/libarchive/get_header_tar_gz.c:27,940,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/archival/rpm2cpio.c:27,939,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/archival/tar.c:642,1397,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/console-tools/resize.c:1,1365,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/console-tools/setconsole.c:24,945,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/console-tools/setconsole.c:27,981,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/console-tools/setlogcons.c:21,915,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/coreutils/chroot.c:29,950,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/coreutils/cksum.c:62,921,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/coreutils/comm.c:83,880,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/coreutils/date.c:281,962,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/coreutils/fsync.c:8,870,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/coreutils/libcoreutils/getopt_mk_fifo_nod.c:47,868,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/coreutils/nice.c:18,898,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/coreutils/sleep.c:66,906,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/coreutils/stty.c:357,1108,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/coreutils/stty.c:7,1113,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/coreutils/sum.c:58,892,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/coreutils/sum.c:8,891,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/coreutils/sync.c:4,868,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/coreutils/tail.c:286,926,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/coreutils/test_ptr_hack.c:9,879,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/coreutils/tr.c:197,925,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/coreutils/uniq.c:85,881,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/coreutils/whoami.c:23,862,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/e2fsprogs/old_e2fsprogs/ext2fs/swapfs.c:111,934,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/e2fsprogs/old_e2fsprogs/ext2fs/unix_io.c:628,998,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/editors/awk.c:2237,1108,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/editors/ed.c:223,1009,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/editors/patch.c:423,990,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/init/halt.c:64,892,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/init/mesg.c:20,874,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/libbb/compare_string_array.c:82,876,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/libbb/copy_file.c:37,940,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/libbb/copyfd.c:61,892,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/libbb/dump.c:288,963,1,0,?,?,0,0,0,0,0
